pSTAT5,Foxp3,CD25,PD1,CD4,Position X,Position Y,Position Z
52.5674,45.593,61.9919,75.0714,163.615,815.08,1906.64,8.17053
58.773,50.7223,66.7049,74.1656,162.996,803.931,1934.56,5.31757
67.7861,63.3459,56.5516,88.3779,232.598,832.941,1934.86,7.94607
41.25,65.2278,135.899,80.3167,179.192,863.055,1614.29,7.57661
69.8059,47.5035,296.55,71.865,336.594,865.358,1611.28,8.92989
34.6667,32.8905,63.5661,78.1854,168.038,901.48,1576.68,11.4164
53.4896,58.0287,95.5789,82.6045,177.581,896.406,1583.14,8.63648
41.4563,35.1825,47.1293,90.0786,214.335,854.777,1624.3,10.5904
19.9942,22.6681,35.442,51.2551,190.819,897.255,1580.35,13.7267
44.505,53.3377,50.7335,63.9589,175.867,842.544,1639.62,5.08976
26.4069,27.7842,37.1137,67.7216,164.506,858.462,1621.49,7.67623
42.1942,39.2145,156.038,108.241,259.641,899.457,1581.15,8.71397
35.4695,23.9452,107.135,74.393,235.301,860.957,1621.21,13.4805
39.3957,30.6551,142.388,121.136,259.729,902.316,1581.13,10.5023
26.0969,23.7266,38.1073,45.9689,217.92,865.079,1616.07,13.4337
38.5457,37.5349,92.7285,56.2796,235.949,855.51,1625.36,15.0886
49.7632,52.5629,49.7391,82.9439,195.959,844.209,1642.74,1.82651
37.8815,42.3775,53.5964,76.6064,169.245,861.175,1625.07,8.69534
46.8069,32.4062,43.7414,110.246,182.365,890.338,1596.27,13.359
40.1409,40.7412,31.8392,70.196,192.285,878.141,1611.63,7.3171
50.5426,42.377,57.1009,70.9716,183.341,847.011,1645.25,3.16008
28.4323,27.0834,33.2996,65.7114,215.776,865.122,1624.18,12.1773
25.4733,35.1573,23.4687,53.9114,200.699,873.797,1616.87,13.8436
45.3677,68.5291,55.151,159.934,183.797,884.514,1609.19,7.67738
48.7895,38.1675,58.7831,90.7719,328.923,867.381,1626.22,7.85663
78.3571,72.9571,117.946,118.177,217.49,868.538,1628.38,2.95106
43.9506,44.4026,39.9922,87,180.395,857.109,1638.36,4.66679
34.3339,36.8592,72.2674,77.4573,167.47,874.475,1620.51,8.93903
29.6486,36.799,37.0192,103.509,161.698,883.227,1612.05,11.8574
46.2619,49.1056,115.603,115.397,182.33,875.864,1624.8,6.04942
13.3896,6.61656,19.5123,48.0399,174.791,869.082,1625,14.989
25.4913,35.5988,48.8983,139.881,165.828,866.137,1628.69,12.9138
84.8172,94.068,233.215,131.634,190.636,872.855,1626.51,2.41489
29.4046,30.3586,65.6735,136.518,208.382,869.422,1629.52,12.5767
48.6745,24.9081,106.717,56.4109,187.283,874.819,1622.91,14.0224
38.8687,35.6519,46.3422,70.9764,179.885,881.539,1619.73,7.4102
36.4978,49.2873,67.3882,102.75,174.579,869.068,1632.09,6.766
32.7783,34.4401,60.0259,89.466,232.16,878.22,1623.07,9.68137
29.3748,51.5828,89.0822,101.462,192.301,874.1,1627.08,12.3111
37.5088,40.9238,60.5238,95.0435,241.452,872.378,1629.4,8.84398
51.593,64.9236,66.5269,236.033,196.446,877.721,1627.61,3.03538
32.2576,34.6663,59.3921,118.947,161.754,878.037,1629.81,8.14772
30.2404,43.7399,135.082,87.5598,160.541,873.931,1633.1,12.5336
36.6908,25.9701,46.5761,214.776,171.065,878.324,1632.74,2.6456
25.1912,32.8474,89.814,73.3965,167.296,875.668,1636.88,13.6081
30.2017,35.77,42.455,61.9433,184.965,873.929,1644.92,10.3286
34.8882,33.4018,65.7855,62.6858,162.211,904.619,1529.06,13.2926
50.7194,57.0264,53.9448,96.9604,179.495,730.202,1706.96,7.39537
55.4164,54.7535,82.7744,123.979,208.226,895.291,1541.19,7.50056
36.9574,33.7996,29.9803,64.4413,202.315,845.389,1593.47,6.91233
35.0966,38.5649,54.1777,93.1268,195.063,792.202,1647.91,9.32305
33.7483,41.7117,34.8886,67.4277,215.784,857.709,1581.04,13.6862
43.8288,41.3514,66.6113,52.2329,189.78,911.203,1528.69,5.55283
21.8489,35.7856,25.9069,53.2689,196.471,867.882,1569.1,13.5144
68.4671,85.0677,82.8758,107.354,186.636,851.263,1588.93,7.2492
33.7333,27.3427,27.7743,58.6129,245.881,842.009,1594.65,12.2678
33.4812,40.3616,29.7761,66.7775,168.68,807.807,1630.79,5.57076
29.5713,47.4687,45.0585,63.6287,163.575,876.11,1561.47,13.331
27.7615,31.3063,28.0124,56.0781,165.618,867.255,1574.74,12.2171
21.6906,23.6871,22.9073,65.1486,185.937,778.366,1659.61,10.2002
42.1273,43.5016,34.3118,120.544,175.622,772.771,1667.6,6.06891
36.321,35.2055,46.709,119.566,225.864,838.355,1601.13,10.1395
32.6194,40.0014,25.166,134.433,231.343,781.106,1658.49,5.77568
40.1619,32.5924,22.7867,72.3048,248.827,863.309,1575.01,9.15253
34.993,35.7687,34.2922,49.0539,168.238,902.255,1538.14,4.54673
52.0593,45.6769,153.369,107.974,214.682,826.644,1614.09,7.73067
34.6718,30.1815,30.3514,75.2819,208.004,887.09,1553.56,8.79907
42.0646,49.0849,49.5502,80.5885,255.621,844.616,1597.46,9.96334
24.1431,21.5223,26.855,48.4033,178.729,902.299,1536.82,11.2834
28.5957,91.5693,91.5353,122.401,175.981,835.957,1606.19,10.0079
29.3137,28.9722,33.4194,50.3797,200.734,847.71,1595.64,13.8635
39.1587,34.4683,100.687,71.0397,207.424,909.726,1532.97,7.90278
41.4766,54.9117,42.4883,151.403,181.857,878.824,1565.92,4.23954
45.3731,43.3951,35.6645,93.6071,194.389,766.656,1676.29,7.75191
43.4502,40.0277,45.2799,71.3619,213.773,856.514,1586.69,8.30834
25.0992,22.1201,30.6508,59.3017,198.235,795.182,1647.18,13.5591
30.1539,27.0644,24.5704,77.2518,213.378,782.722,1661.49,9.13027
42.3658,48.4256,33.3338,67.9193,217.471,866.314,1577.49,5.42891
30.7826,27.1217,34.6638,49.2768,240.342,857.407,1585.81,14.6425
24.3033,23.8521,29.9668,65.642,163.781,828.222,1614.37,13.7403
45.6333,43.2614,143.611,213.787,254.883,899.968,1545.53,6.94333
29.397,27.6425,29.3064,67.0659,199.3,887.087,1556.65,6.92175
46.7663,48.9588,40.6864,144.758,253.534,849.285,1596.75,6.66189
39.9865,39.9701,29.0734,72.0763,188.588,875.983,1569.93,3.61448
61.6054,47.2268,64.5511,110.757,188.235,798.212,1651.39,1.65734
45.4974,83.0405,117.077,183.96,203.82,841.486,1605.5,6.42326
66.9976,53.6972,94.9255,99.5739,264.073,857.075,1589.21,11.9319
31.4407,31.7797,46.1556,80.379,206.005,832.086,1614.87,9.39668
59.7937,58.3608,91.6129,111.892,171.09,905.129,1545.01,5.33532
41.993,47.3349,52.2649,74.7141,217.503,854.265,1592.87,9.05709
33.1807,43.5356,44.8828,67.4392,169.345,823.85,1624.24,4.58227
18.7655,32.7732,41.7474,109.356,180.412,840.231,1604.27,14.6574
40.3962,59.876,55.1078,117.774,195.933,897.09,1550.01,9.52623
34.5641,31.1103,58.8897,55.6128,162.033,827.388,1619.27,10.7025
30.2102,34.5796,23.7658,51.012,162.027,874.419,1574,9.68382
26.3254,51.5276,40.6244,55.8668,176.112,863.408,1585.62,14.1179
44.9403,51.2896,40.7026,131.523,286.095,845.798,1602.53,8.34445
40.2765,31.77,69.3695,54.6486,226.362,856.384,1590.91,14.861
26.9091,51.4892,83.3242,79.7033,181.219,847.033,1601.37,13.6341
43.9546,46.3619,42.1021,60.1753,179.987,802.067,1647.51,3.7185
40.9259,42.2695,78.7757,103.216,217.683,900.846,1546.23,10.8963
34.8112,38.3909,28.9322,60.6563,205.994,889.371,1560.91,4.0889
46.6612,43.0724,38.8503,83.2566,177.836,882.515,1568.58,3.75743
31.5502,34.0723,23.6506,71.0924,248.988,878.472,1570.42,7.01072
20.4839,24.9679,19.9695,42.1997,169.162,886.751,1561.28,13.8953
33.9655,30.2299,28.0673,61.7356,248.603,860.885,1587.6,10.5437
46.7287,41.965,64.5927,92.6396,191.274,902.011,1549.87,6.22673
57.6288,61.1497,74.6229,81.5033,175.949,860.25,1591.98,8.50836
32.3846,24.3965,24.2485,52.6667,215.925,888.503,1561.24,8.3831
44.6094,45.506,79.2852,76.4242,221.313,853.765,1597.47,12.1329
41.2489,39.6856,50.3784,82.33,243.669,850.001,1600.26,9.56339
24.4686,22.5401,19.8624,62.1969,184.711,881.673,1568.02,11.8366
23.7481,22.1812,26.464,49.0977,164.215,832.52,1618.28,13.234
27.5969,28.0024,23.2423,51.2329,198.533,879.403,1572.01,13.0083
50.4692,42.7019,63.889,111.072,255.575,846.294,1606.45,4.99732
26.7655,30.6114,157.554,46.0352,184.005,856.134,1594.77,14.607
23.5451,29.6337,24.5835,51.3604,179.815,899.884,1551.12,12.7666
19.7952,18.3828,17.6568,40.7839,175.627,826.046,1625.79,13.3931
46.4368,47.4244,63.1264,88.3239,197.932,812.644,1642.34,3.55626
30.9531,32.7405,28.2273,47.8695,164.232,738.754,1716.32,4.4381
32.7765,22.6246,41.6676,58.6246,184.202,862.55,1591.96,13.8588
36.0778,38.3741,39.3628,65.9659,200.756,866.078,1589.61,11.9387
31.7762,27.9587,45.3752,123.126,179.145,828.257,1627.2,8.30036
28.9563,26.4741,17.7298,45.5583,176.395,886.52,1567.27,13.3267
28.1873,31.6584,36.6736,63.0317,164.919,903.336,1551.85,9.76631
34.1672,34.4418,35.3134,61.4806,215.548,901.851,1554.66,3.22725
27.3917,22.577,27.0352,66.6677,194.332,825.248,1630.27,13.2503
28.8065,33.3137,31.6327,68.5137,178.26,835.464,1620.75,9.92122
25.7613,27.1307,56.8317,75.0578,232.482,811.214,1644.86,9.45239
63.9208,42.0139,79.7465,61.9248,212.653,737.601,1719.95,4.21705
37.4338,40.3299,134.531,104.619,221.401,811.167,1647.39,5.5875
37.752,41.1504,34.2048,86.4816,197.528,872.368,1584.55,9.65802
37.6548,35.4406,123.705,64.03,185.179,856.121,1601.77,11.2693
43.5285,59.4411,69.0989,84.1027,186.572,907.173,1552.22,3.40717
44.8029,50.9794,47.5721,66.7765,189.94,851.731,1607.39,6.35725
41.6646,34.5142,37.3766,60.8054,263.226,905.189,1553.64,6.97082
39.8374,45.8318,36.3875,69.8072,166.556,900.222,1559.63,2.54225
32.4648,26.5465,31.739,61.6338,202.273,840.172,1622.19,9.74399
