pSTAT5,Foxp3,CD25,PD1,CD4,Position X,Position Y,Position Z
120.829,388.463,72.8834,231.421,369.252,754.102,1986.29,1.12516
64.8251,375.677,101.115,67.7913,201.856,818.998,1921.32,3.88407
112.876,489.069,147.641,127.177,294.586,904.941,1842.71,3.20264
72.5159,299.262,79.2963,362.426,207.339,882.601,1878.65,6.64678
76.044,408.028,187.24,123.608,274.114,827.834,1936.79,10.2478
81.6521,387.644,85.0066,141.544,232.223,847.563,1922.83,7.16153
43.7846,256.258,56.0223,81.8605,64.2891,845.898,1865.98,7.76273
57.5651,355.636,121.844,161.878,133.797,824.688,1897.15,9.19314
79.9349,347.428,73.6113,205.916,265.756,754.83,1968.58,5.34081
28.7105,313.443,59.7779,122.52,145.263,803.255,1928.2,11.1339
80.3473,288.056,60.5621,494.329,347.389,833.368,1902.75,3.90756
31.8777,388.065,46.3803,57.3718,95.1526,819.933,1868.2,10.4899
35.7658,488.876,40.3755,339.168,240.234,965.383,1726.6,12.2224
33.1086,264.507,33.7495,365.248,142.775,837.396,1854.13,12.1428
82.8566,303.137,75.6526,143.952,261.183,918.511,1785,3.66133
51.7011,392.609,67.8681,137.734,287.698,975.257,1679.39,8.38807
45.4026,355.025,69.4378,78.33,235.23,979.199,1676.06,6.20349
39.7413,216.304,37.5511,671.766,238.467,868.372,1788.09,10.7711
81.0207,262.884,50.0997,1031.7,408.071,649.096,2010.5,5.48438
65.722,457.255,55.0287,372.195,261.295,917.205,1746.99,2.27981
76.2399,480.296,69.6187,130.525,178.278,972.021,1696.02,1.07534
49.8398,337.501,69.6664,77.815,175.551,835.666,1835.38,5.00546
43.9888,250.496,59.956,332.141,174.926,799.281,1870.49,5.83997
55.1992,246.279,57.5262,193.537,137.045,989.93,1686.4,11.3587
90.3365,240.749,114.133,188.095,287.768,931.069,1743.76,1.29848
82.0609,244.221,58.0096,456.776,300.817,941.403,1734.72,0.732005
63.9209,330.875,55.1858,698.777,232.316,723.646,1917.82,6.88566
78.8779,221.082,91.1798,256.324,357.525,639.132,2007.81,3.83914
77.1124,458.779,61.0133,695.463,310.309,635.563,2012.19,8.61746
60.3954,418.161,63.6035,213.344,315.326,896.067,1755,5.0956
32.8572,407.089,30.1398,300.688,197.029,821.399,1829.37,9.54566
53.4656,352.496,40.6575,1283.94,302.411,652.698,1999.02,9.1606
28.3138,239.784,48.5252,128.47,275.302,973.959,1642.76,12.7745
60.873,451.048,96.7429,193.713,319.763,994.771,1626.32,2.47529
45.3216,357.609,66.6204,118.083,178.399,713.192,1907.96,10.5963
86.1017,449.387,126.53,160.609,306.654,930.696,1695.4,2.00663
45.8237,347.339,37.4807,199.282,256.83,771.849,1853.69,8.16399
72.6481,447.667,60.33,584.16,347.73,596.759,2037.24,10.2486
72.9812,235.042,69.1854,80.0313,75.5729,901.298,1733.88,1.65133
65.0093,335.912,48.4832,1084.49,335.571,678.467,1957,12.5736
51.9963,241.483,99.8216,232.885,153.459,587.704,2047.42,13.8315
76.4111,516.198,54.4443,272.73,396.832,928.165,1711.16,3.77364
83.5616,300.489,69.2131,405.636,194.685,596.189,2006.01,1.65579
46.5419,348.911,83.8093,114.1,293.5,954.509,1649.09,11.363
64.1154,292.104,40.2308,133.775,256.962,788.309,1817.01,4.74317
87.5863,261.251,112.573,254.554,288.355,935.19,1672.48,1.14646
25.8579,306.823,31.022,151.586,204.251,921.468,1686.44,12.8862
69.5928,321.565,105.156,192.236,304.894,930.298,1680.17,7.38487
33.9835,416.24,67.3452,44.6903,143.949,795.15,1814.74,7.8002
83.2302,262.319,54.5964,448.375,355.546,909.443,1702.64,1.69664
73.4175,373.839,51.9273,194.389,280.089,737.202,1876.64,2.27581
39.6195,237.437,33.2609,688.86,207.017,589.827,2021.03,12.3877
68.1833,307.765,136.275,138.754,411.014,977.408,1640.73,7.60893
78.4515,283.771,60.1334,1094.29,332.796,673.942,1940.88,6.44897
30.4389,303.005,38.2855,170.736,183.929,1008.42,1603.88,13.4329
84.6838,472.15,52.212,230.388,231.592,1066.37,1551.06,2.43808
42.9612,456.692,52.7998,328.762,241.128,1057.66,1558.02,9.48466
113.137,336.164,166.741,186.339,301.796,550.549,2038.83,2.0557
106.89,274.812,125.113,1002.19,438.787,594.845,1993.81,6.11391
31.4829,387.804,80.4584,78.0873,234.292,896.651,1691.97,12.2619
54.5705,322.705,75.8749,188.441,258.344,672.995,1923.87,12.2652
90.5,289.938,83.6339,502.942,251.536,556.822,2039.61,1.7968
60.8399,352.055,60.4247,1138.17,318.672,669.331,1894.81,11.7581
49.9487,250.609,49.568,946.517,217.471,574.293,1989.29,6.22743
59.9481,364.754,59.9385,655.814,293.228,829.539,1743.65,5.89977
39.2217,216.627,32.2206,89.1441,204.972,726.551,1844.61,10.9252
35.9854,401.53,42.1738,211.585,247.891,1028.69,1543.96,7.93641
42.3726,354.084,34.3627,149.699,313.341,1031.92,1540.55,10.1212
37.1459,336.522,98.1444,219.251,282.664,813.23,1759.94,12.7312
52.577,395.751,38.3602,321.979,242.279,1017.9,1561.06,1.73995
44.1725,381.15,133.996,184.675,233.826,774.782,1804.16,7.05336
37.2566,346.914,52.3069,148.429,251.563,917.639,1658.91,11.4815
46.2653,362.536,85.0499,65.5581,157.498,743.443,1834.34,8.20552
78.1963,486.595,66.4834,285.174,167.227,901.188,1680.63,1.33721
73.1459,560.247,86.7967,429.557,271.43,887.557,1664.19,3.77782
60.823,473.778,58.7433,501.534,225.44,551.068,2001.22,4.32364
59.8067,378.439,47.035,237.718,269.674,998.524,1552.59,7.8304
77.4522,650.266,100.566,349.515,318.965,865.178,1692.06,3.18395
51.1989,284.68,48.752,101.455,302.933,872.931,1681.36,6.99439
58.9484,579.371,99.667,264.157,396.401,987.109,1570.84,8.2575
37.7551,309.466,74.0466,125.006,312.472,953.42,1598.43,13.9867
57.7894,356.362,53.8001,279.431,329.418,982.459,1574.47,5.98221
48.4095,376.02,42.2082,502.145,326.543,835.863,1724.23,6.69601
26.0951,379.357,43.8506,271.761,174.178,862.455,1696.55,13.8399
42.1646,512.735,122.67,192.803,305.352,925.943,1636.82,10.2742
60.828,298.163,47.644,214.221,303.635,699.014,1831.51,5.15491
26.7018,343.892,45.724,67.3717,97.6449,869.225,1659.41,13.1231
64.2253,414.73,105.299,279.072,403.735,906.299,1629.37,6.41642
64.063,279.35,75.7244,187.931,264.356,1013.98,1520.51,2.92186
29.3531,408.044,35.8944,69.866,151.702,808.932,1726.83,10.3673
43.2284,351.299,72.5025,79.1539,262.978,981.238,1556.66,8.60702
76.9504,517.386,124.961,422.488,489.269,918.207,1621.97,5.4572
28.8573,209.129,25.5666,158.228,231.999,801.327,1738.35,12.0136
93.9224,275.352,106.688,202.105,315.731,961.677,1583.96,1.51616
40.8803,256.671,53.093,50.5478,182.659,686.917,1827.57,5.07342
65.3981,453.687,123.543,203.202,329.822,932.651,1584.17,9.72809
49.5004,382.254,183.945,240.147,103.143,795.869,1721.17,6.7748
25.4533,276.25,53.4729,63.8479,116.878,962.261,1550.76,13.1393
39.5219,335.786,58.6447,104.577,231.553,927.257,1590.7,8.09749
69.3908,384.942,128.869,144.255,284.512,1019.75,1500.29,2.10938
51.6598,248.915,55.3694,137.186,133.518,988.741,1530.69,2.8295
28.6356,397.935,71.8041,90.4152,211.468,838.931,1677.69,11.2362
50.9895,423.048,47.1518,615.033,251.558,735.173,1783.14,6.02803
27.7183,279.826,36.3585,84.3183,196.509,945.786,1570.88,12.4148
32.9392,397.755,78.1199,82.287,220.274,763.781,1753.94,11.8243
35.2285,328.259,54.501,96.3064,241.273,951.435,1569.19,12.305
31.6496,422.865,42.5073,290.132,174.476,828.248,1694.74,11.4188
35.1072,437.265,122.319,59.3606,182.867,823.372,1700.54,7.0831
35.6866,287.765,44.1735,61.57,145.935,803.584,1721.93,6.30949
45.3438,373.75,39.4118,1158.31,360.787,651.202,1872.93,13.0216
61.6496,432.906,64.1283,302.907,363.235,1029.32,1497.94,3.48591
42.9967,361.602,92.6745,167.077,272.006,795.839,1728.74,10.6476
33.703,363.083,56.7747,70.1808,170.202,869.013,1655.72,11.1158
48.9607,396.915,58.1834,79.7216,197.84,775.407,1754.3,3.42589
52.5678,303.043,46.5402,938.584,204.629,578.922,1922.78,6.78837
23.6761,226.95,49.6447,78.0645,185.888,822.812,1675.51,12.8331
28.281,303.695,54.0878,109.708,191.267,936.291,1563.45,12.6073
24.4439,421.97,83.5899,108.914,146.241,989.343,1514.99,12.921
28.6484,364.379,113.056,117.366,196.279,895.026,1610.42,12.3283
44.9127,472.067,108.672,161.26,226.077,871.424,1636.13,10.5401
35.2931,260.454,50.8893,155.678,190.308,757.673,1752.08,8.2708
48.4406,359.966,88.9259,237.218,227.315,790.059,1722.28,6.32024
56.2215,465.541,78.424,189.802,182.459,735.064,1776.52,3.14166
27.9724,410.622,75.5051,54.8361,166.841,860.179,1649.75,12.5824
70.3992,338.595,203.337,288.631,211.748,792.444,1719.2,5.92183
65.0062,437.054,95.6509,169.934,410.388,913.468,1601.34,7.91568
36.9946,432.113,158.463,97.0717,273.405,802.827,1679.62,9.35827
47.6516,276,66.5548,42.5161,227.155,1037.98,1439.74,14.8494
